ID,SEASON,DECADE
5,2015,2010s
13,2014,2010s
14,2013,2010s
13,2012,2010s
14,2011,2010s
5,2010,2010s
14,2009,2000s
14,2008,2000s
14,2007,2000s
5,2006,2000s
5,2005,2000s
1,2004,2000s
14,2003,2000s
1,2002,2000s
14,2001,2000s
14,2000,2000s
14,1999,1990s
1,1998,1990s
14,1997,1990s
14,1996,1990s
3,1995,1990s
14,1994,1990s
14,1993,1990s
10,1992,1990s
1,1991,1990s
12,1990,1990s
1,1989,1980s
12,1988,1980s
7,1987,1980s
12,1986,1980s
7,1985,1980s
12,1984,1980s
12,1983,1980s
12,1982,1980s
2,1981,1980s
12,1980,1980s
12,1979,1970s
16,1978,1970s
12,1977,1970s
12,1976,1970s
6,1975,1970s
10,1974,1970s
12,1973,1970s
6,1972,1970s
1,1971,1970s
7,1970,1970s
10,1969,1960s
13,1968,1960s
14,1967,1960s
12,1966,1960s
14,1965,1960s
12,1964,1960s
7,1963,1960s
9,1962,1960s
22,1961,1960s
4,1960,1960s
24,1959,1950s
24,1958,1950s
14,1957,1950s
14,1956,1950s
5,1955,1950s
24,1954,1950s
1,1953,1950s
14,1952,1950s
22,1951,1950s
17,1950,1950s
17,1949,1940s
1,1948,1940s
12,1947,1940s
7,1939,1930s
1,1938,1930s
13,1937,1930s
21,1936,1930s
1,1935,1930s
1,1934,1930s
1,1933,1930s
7,1932,1930s
1,1931,1930s
20,1930,1930s
20,1929,1920s
7,1928,1920s
15,1927,1920s
8,1926,1920s
8,1925,1920s
8,1924,1920s
12,1923,1920s
12,1922,1920s
4,1921,1920s
23,1920,1920s
7,1915,1910s
3,1914,1910s
21,1913,1910s
3,1912,1910s
14,1911,1910s
2,1910,1910s
15,1909,1900s
14,1908,1900s
15,1907,1900s
12,1906,1900s
15,1905,1900s
20,1904,1900s
20,1903,1900s
21,1902,1900s
12,1901,1900s
2,1900,1900s
2,1899,1890s
19,1898,1890s
2,1897,1890s
2,1896,1890s
21,1895,1890s
2,1894,1890s
21,1893,1890s
21,1892,1890s
7,1891,1890s
18,1890,1890s
18,1889,1880s